,graph_i,mec_size,n_nodes,n_types,prob_inter,prob_intra,runtime,tmec_size,unoriented_tedges
193,19,96,40,10,0.2,0.3,1.6010959148406982,24,0
194,19,64,50,10,0.2,0.3,0.26594972610473633,1,0
195,19,64,60,10,0.2,0.3,1.084418773651123,4,0
196,19,40,70,10,0.2,0.3,1.6903736591339111,4,1
197,19,40,80,10,0.2,0.3,2.3939669132232666,4,0
198,19,80,90,10,0.2,0.3,2.012571334838867,2,0
199,19,24,100,10,0.2,0.3,8.015748977661133,8,0
200,20,24,10,10,0.2,0.3,0.0708305835723877,24,6
201,20,4,20,10,0.2,0.3,0.028768301010131836,2,0
202,20,304,30,10,0.2,0.3,3.587696075439453,112,6
203,20,16,40,10,0.2,0.3,0.3294236660003662,4,1
204,20,72,50,10,0.2,0.3,1.6382238864898682,12,0
205,20,54,60,10,0.2,0.3,0.4362618923187256,1,0
206,20,108,70,10,0.2,0.3,1.373537302017212,3,0
207,20,8,80,10,0.2,0.3,1.426985502243042,2,0
208,20,216,90,10,0.2,0.3,8.914814233779907,12,0
209,20,18,100,10,0.2,0.3,4.584384918212891,4,0
210,21,2,10,10,0.2,0.3,0.005372285842895508,2,1
211,21,24,20,10,0.2,0.3,0.21967339515686035,24,4
212,21,16,30,10,0.2,0.3,0.13767051696777344,4,1
213,21,192,40,10,0.2,0.3,0.22592449188232422,2,1
214,21,40,50,10,0.2,0.3,0.38280344009399414,2,0
215,21,72,60,10,0.2,0.3,1.058316707611084,4,0
216,21,114,70,10,0.2,0.3,1.099311351776123,2,0
217,21,168,80,10,0.2,0.3,6.193167686462402,12,0
218,21,120,90,10,0.2,0.3,3.2740397453308105,4,0
219,21,64,100,10,0.2,0.3,4.418425559997559,4,0
220,22,6,10,10,0.2,0.3,0.012754440307617188,6,3
221,22,18,20,10,0.2,0.3,0.15868711471557617,18,3
222,22,72,30,10,0.2,0.3,1.8695034980773926,72,3
223,22,40,40,10,0.2,0.3,0.34475016593933105,4,1
224,22,12,50,10,0.2,0.3,0.25290799140930176,1,0
225,22,30,60,10,0.2,0.3,0.6478722095489502,2,0
226,22,80,70,10,0.2,0.3,1.0151121616363525,2,0
227,22,32,80,10,0.2,0.3,0.9506783485412598,1,0
228,22,600,90,10,0.2,0.3,8.75713062286377,12,0
229,22,16,100,10,0.2,0.3,2.7264721393585205,2,0
230,23,12,10,10,0.2,0.3,0.026066303253173828,12,4
231,23,4,20,10,0.2,0.3,0.05777120590209961,4,3
232,23,32,30,10,0.2,0.3,0.4416477680206299,16,3
233,23,32,40,10,0.2,0.3,0.5914490222930908,8,1
234,23,24,50,10,0.2,0.3,0.2519822120666504,1,0
235,23,128,60,10,0.2,0.3,2.8803722858428955,12,0
236,23,48,70,10,0.2,0.3,1.6132290363311768,4,0
237,23,256,80,10,0.2,0.3,4.289140224456787,8,0
238,23,24,90,10,0.2,0.3,1.3224549293518066,1,0
239,23,24,100,10,0.2,0.3,2.702113628387451,2,0
240,24,2,10,10,0.2,0.3,0.004691600799560547,2,1
241,24,18,20,10,0.2,0.3,0.346588134765625,18,6
242,24,8,30,10,0.2,0.3,0.13545513153076172,4,1
243,24,864,40,10,0.2,0.3,0.9843490123748779,12,1
244,24,12,50,10,0.2,0.3,0.6509420871734619,4,2
245,24,8,60,10,0.2,0.3,0.5228073596954346,1,0
246,24,40,70,10,0.2,0.3,4.190871238708496,12,0
247,24,384,80,10,0.2,0.3,8.897748947143555,18,0
248,24,384,90,10,0.2,0.3,3.4555819034576416,4,0
249,24,24,100,10,0.2,0.3,4.467442512512207,4,0
250,25,8,10,10,0.2,0.3,0.015220165252685547,8,3
251,25,12,20,10,0.2,0.3,0.026694774627685547,2,0
252,25,48,30,10,0.2,0.3,0.24560117721557617,8,3
253,25,12,40,10,0.2,0.3,0.33141183853149414,4,1
254,25,16,50,10,0.2,0.3,0.5412943363189697,3,0
255,25,8,60,10,0.2,0.3,0.6385815143585205,2,0
256,25,576,70,10,0.2,0.3,5.748507976531982,16,1
257,25,60,80,10,0.2,0.3,1.9249179363250732,3,0
258,25,60,90,10,0.2,0.3,4.658910036087036,6,0
259,25,192,100,10,0.2,0.3,2.7912752628326416,2,0
260,26,8,10,10,0.2,0.3,0.023462772369384766,8,4
261,26,24,20,10,0.2,0.3,0.12894797325134277,12,4
262,26,9,30,10,0.2,0.3,0.1968238353729248,6,2
263,26,285,40,10,0.2,0.3,1.3462162017822266,18,0
264,26,72,50,10,0.2,0.3,1.6230907440185547,12,2
265,26,72,60,10,0.2,0.3,2.79357647895813,12,1
266,26,48,70,10,0.2,0.3,1.6776790618896484,4,0
267,26,42,80,10,0.2,0.3,7.974191904067993,16,0
268,26,12,90,10,0.2,0.3,1.3110740184783936,1,0
269,26,30,100,10,0.2,0.3,4.481888055801392,4,0
270,27,4,10,10,0.2,0.3,0.008557319641113281,4,2
271,27,12,20,10,0.2,0.3,0.07249903678894043,6,3
272,27,5,30,10,0.2,0.3,0.06865501403808594,1,0
273,27,12,40,10,0.2,0.3,0.5028321743011475,6,2
274,27,12,50,10,0.2,0.3,0.38875269889831543,2,0
275,27,96,60,10,0.2,0.3,1.523550033569336,6,0
276,27,96,70,10,0.2,0.3,8.031263589859009,24,1
277,27,112,80,10,0.2,0.3,4.274046182632446,8,0
278,27,36,90,10,0.2,0.3,1.3674862384796143,1,0
279,27,20,100,10,0.2,0.3,3.5388035774230957,3,0
280,28,4,10,10,0.2,0.3,0.008561849594116211,4,2
281,28,8,20,10,0.2,0.3,0.07204723358154297,8,1
282,28,16,30,10,0.2,0.3,0.08137965202331543,2,0
283,28,96,40,10,0.2,0.3,0.20264363288879395,2,0
284,28,96,50,10,0.2,0.3,1.9460601806640625,12,3
285,28,8,60,10,0.2,0.3,0.6417934894561768,2,0
286,28,4,70,10,0.2,0.3,0.6596376895904541,1,0
287,28,96,80,10,0.2,0.3,11.786701202392578,24,0
288,28,96,90,10,0.2,0.3,3.4477972984313965,4,0
289,28,32,100,10,0.2,0.3,14.838972806930542,16,0
290,29,18,10,10,0.2,0.3,0.04092884063720703,18,5
291,29,20,20,10,0.2,0.3,0.14705586433410645,12,4
292,29,30,30,10,0.2,0.3,0.0971977710723877,2,0
293,29,24,40,10,0.2,0.3,0.815908670425415,12,1
294,29,480,50,10,0.2,0.3,4.655317068099976,32,2
295,29,144,60,10,0.2,0.3,5.370134353637695,24,1
296,29,8,70,10,0.2,0.3,0.9968011379241943,2,0
297,29,84,80,10,0.2,0.3,3.389248847961426,6,0
298,29,9,90,10,0.2,0.3,1.984795093536377,2,0
299,29,6,100,10,0.2,0.3,2.670915126800537,2,0
300,30,1,10,10,0.2,0.3,0.0028128623962402344,1,0
301,30,3,20,10,0.2,0.3,0.03676652908325195,3,2
302,30,4,30,10,0.2,0.3,0.08093762397766113,2,0
303,30,192,40,10,0.2,0.3,1.1292908191680908,16,2
304,30,96,50,10,0.2,0.3,0.9015812873840332,6,1
305,30,192,60,10,0.2,0.3,3.2657856941223145,14,0
306,30,192,70,10,0.2,0.3,2.427197217941284,6,1
307,30,30,80,10,0.2,0.3,4.794804096221924,9,0
308,30,64,90,10,0.2,0.3,3.299896001815796,4,0
